sample,lineage,lineage_designation_date,experiment_date,experiment_name,pango_version,days_to_define_prolonged_infections
hCoV-19/USA/WI-UW-6376/2021,B.1.2,2021-02-18,2021-12-09,DHO_26517_2,4.1.3,240
hCoV-19/USA/WI-UW-6377/2021,B.1.2,2021-02-18,2021-12-09,DHO_26599,4.1.3,240
hCoV-19/USA/WI-UW-7049/2021,B.1.617.2,2021-04-21,2021-12-20,DHO_26689,4.1.3,240
hCoV-19/USA/WI-UW-7093/2021,B.1.617.2,2021-04-21,2021-12-20,DHO_26689,4.1.3,240
hCoV-19/USA/WI-UW-7112/2021,B.1.617.2,2021-04-21,2021-12-20,DHO_26692,4.1.3,240
hCoV-19/USA/WI-UW-7113/2021,B.1.617.2,2021-04-21,2021-12-20,DHO_26692,4.1.3,240
hCoV-19/USA/WI-UW-7114/2021,B.1.617.2,2021-04-21,2021-12-20,DHO_26692,4.1.3,240
hCoV-19/USA/WI-UW-7177/2021,B.1.617.2,2021-04-21,2021-12-20,DHO_26692,4.1.3,240
hCoV-19/USA/WI-UW-7192/2021,B.1.617.2,2021-04-21,2021-12-20,DHO_26692,4.1.3,240
hCoV-19/USA/WI-UW-7202/2021,B.1.1,2021-02-18,2021-12-20,DHO_26693,4.1.3,240
hCoV-19/USA/WI-UW-7208/2021,B.1,2021-02-18,2021-12-20,DHO_26693,4.1.3,240
hCoV-19/USA/WI-UW-7801/2021,B.1.617.2,2021-04-21,2021-12-24,DHO_26704,4.1.3,240
hCoV-19/USA/WI-UW-8191/2021,B.1.1,2021-02-18,2022-01-07,DHO_26716,4.1.3,240
hCoV-19/USA/WI-UW-12027/2022,B.1.234,2021-02-18,2022-07-01,DHO_27410_gup,4.1.3,240
hCoV-19/USA/WI-UW-12027/9999,B.1.234,2021-02-18,2022-07-06,DHO_27410_gupb,4.1.3,240
hCoV-19/USA/WI-UW-13045/2022,B.1.234,2021-02-18,2022-08-23,DHO_27572_gup,4.1.3,240
hCoV-19/USA/WI-UW-13082/2022,B.1.234,2021-02-18,2022-08-28,DHO_27571_gupb,4.1.3,240
hCoV-19/USA/WI-UW-13091/2022,BA.2,2021-12-07,2022-08-28,DHO_27571_gupb,4.1.3,240
hCoV-19/USA/WI-UW-13092/2022,BA.2,2021-12-07,2022-08-28,DHO_27571_gupb,4.1.3,240
hCoV-19/USA/WI-UW-13094/2022,BA.2,2021-12-07,2022-08-28,DHO_27571_gupb,4.1.3,240
hCoV-19/USA/WI-UW-13113/2022,BA.2,2021-12-07,2022-08-28,DHO_27571_gupb,4.1.3,240
hCoV-19/USA/WI-UW-13123/2022,B.1.234,2021-02-18,2022-08-28,DHO_27571_gupb,4.1.3,240
hCoV-19/USA/WI-UW-13209/9999,B.1.234,2021-02-18,2022-08-30,DHO_27600_gupb,4.1.3,240
hCoV-19/USA/WI-UW-13507/2022,BA.2,2021-12-07,2022-09-29,DHO_27724_3_gup,4.1.3,240
hCoV-19/USA/WI-UW-13508/2022,BA.2,2021-12-07,2022-09-29,DHO_27724_3_gup,4.1.3,240
hCoV-19/USA/WI-UW-13511/2022,BA.2,2021-12-07,2022-09-29,DHO_27724_3_gup,4.1.3,240
hCoV-19/USA/WI-UW-13507/2022,BA.2,2021-12-07,2022-10-11,DHO_27724_5_gup,4.1.3,240
hCoV-19/USA/WI-UW-13508/2022,BA.2,2021-12-07,2022-10-11,DHO_27724_5_gup,4.1.3,240
hCoV-19/USA/WI-UW-13511/2022,BA.2,2021-12-07,2022-10-11,DHO_27724_5_gup,4.1.3,240
